driver,year,round,race_name,date,constructor,grid,finish_pos,points,status,status_cat,laps,is_street,sprint_points
GAS,2017,15,Malaysian Grand Prix,2017-10-01,Toro Rosso,15,14.0,0.0,+1 Lap,Classified,55,0,0.0
GAS,2017,16,Japanese Grand Prix,2017-10-08,Toro Rosso,14,13.0,0.0,+1 Lap,Classified,52,0,0.0
GAS,2017,18,Mexican Grand Prix,2017-10-29,Toro Rosso,20,13.0,0.0,+1 Lap,Classified,70,0,0.0
GAS,2017,19,Brazilian Grand Prix,2017-11-12,Toro Rosso,19,12.0,0.0,+1 Lap,Classified,70,0,0.0
GAS,2017,20,Abu Dhabi Grand Prix,2017-11-26,Toro Rosso,17,16.0,0.0,+1 Lap,Classified,54,0,0.0
GAS,2018,1,Australian Grand Prix,2018-03-25,Toro Rosso,20,,0.0,Engine,Mechanical DNF,13,0,0.0
GAS,2018,2,Bahrain Grand Prix,2018-04-08,Toro Rosso,5,4.0,12.0,Finished,Finished,57,0,0.0
GAS,2018,3,Chinese Grand Prix,2018-04-15,Toro Rosso,17,18.0,0.0,Finished,Finished,56,0,0.0
GAS,2018,4,Azerbaijan Grand Prix,2018-04-29,Toro Rosso,17,12.0,0.0,Finished,Finished,51,1,0.0
GAS,2018,5,Spanish Grand Prix,2018-05-13,Toro Rosso,12,,0.0,Collision,Incident DNF,0,0,0.0
GAS,2018,6,Monaco Grand Prix,2018-05-27,Toro Rosso,10,7.0,6.0,Finished,Finished,78,1,0.0
GAS,2018,7,Canadian Grand Prix,2018-06-10,Toro Rosso,16,11.0,0.0,+1 Lap,Classified,67,0,0.0
GAS,2018,8,French Grand Prix,2018-06-24,Toro Rosso,14,,0.0,Collision,Incident DNF,0,0,0.0
GAS,2018,9,Austrian Grand Prix,2018-07-01,Toro Rosso,12,11.0,0.0,+1 Lap,Classified,70,0,0.0
GAS,2018,10,British Grand Prix,2018-07-08,Toro Rosso,14,13.0,0.0,Finished,Finished,52,0,0.0
GAS,2018,11,German Grand Prix,2018-07-22,Toro Rosso,16,14.0,0.0,+1 Lap,Classified,66,0,0.0
GAS,2018,12,Hungarian Grand Prix,2018-07-29,Toro Rosso,6,6.0,8.0,Finished,Finished,70,0,0.0
GAS,2018,13,Belgian Grand Prix,2018-08-26,Toro Rosso,10,9.0,2.0,Finished,Finished,44,0,0.0
GAS,2018,14,Italian Grand Prix,2018-09-02,Toro Rosso,9,14.0,0.0,+1 Lap,Classified,52,0,0.0
GAS,2018,15,Singapore Grand Prix,2018-09-16,Toro Rosso,15,13.0,0.0,+1 Lap,Classified,60,1,0.0
GAS,2018,16,Russian Grand Prix,2018-09-30,Toro Rosso,17,,0.0,Brakes,Mechanical DNF,4,0,0.0
GAS,2018,17,Japanese Grand Prix,2018-10-07,Toro Rosso,7,11.0,0.0,+1 Lap,Classified,52,0,0.0
GAS,2018,18,United States Grand Prix,2018-10-21,Toro Rosso,19,12.0,0.0,+1 Lap,Classified,55,0,0.0
GAS,2018,19,Mexican Grand Prix,2018-10-28,Toro Rosso,20,10.0,1.0,+2 Laps,Classified,69,0,0.0
GAS,2018,20,Brazilian Grand Prix,2018-11-11,Toro Rosso,9,13.0,0.0,+1 Lap,Classified,70,0,0.0
GAS,2018,21,Abu Dhabi Grand Prix,2018-11-25,Toro Rosso,17,,0.0,Engine,Mechanical DNF,46,0,0.0
GAS,2019,1,Australian Grand Prix,2019-03-17,Red Bull,17,11.0,0.0,+1 Lap,Classified,57,0,0.0
GAS,2019,2,Bahrain Grand Prix,2019-03-31,Red Bull,13,8.0,4.0,Finished,Finished,57,0,0.0
GAS,2019,3,Chinese Grand Prix,2019-04-14,Red Bull,6,6.0,9.0,Finished,Finished,56,0,0.0
GAS,2019,4,Azerbaijan Grand Prix,2019-04-28,Red Bull,0,,0.0,Transmission,Mechanical DNF,38,1,0.0
GAS,2019,5,Spanish Grand Prix,2019-05-12,Red Bull,6,6.0,8.0,Finished,Finished,66,0,0.0
GAS,2019,6,Monaco Grand Prix,2019-05-26,Red Bull,8,5.0,11.0,Finished,Finished,78,1,0.0
GAS,2019,7,Canadian Grand Prix,2019-06-09,Red Bull,5,8.0,4.0,+1 Lap,Classified,69,0,0.0
GAS,2019,8,French Grand Prix,2019-06-23,Red Bull,9,10.0,1.0,+1 Lap,Classified,52,0,0.0
GAS,2019,9,Austrian Grand Prix,2019-06-30,Red Bull,8,7.0,6.0,+1 Lap,Classified,70,0,0.0
GAS,2019,10,British Grand Prix,2019-07-14,Red Bull,5,4.0,12.0,Finished,Finished,52,0,0.0
GAS,2019,11,German Grand Prix,2019-07-28,Red Bull,4,14.0,0.0,Collision,Incident DNF,61,0,0.0
GAS,2019,12,Hungarian Grand Prix,2019-08-04,Red Bull,6,6.0,8.0,+1 Lap,Classified,69,0,0.0
GAS,2019,13,Belgian Grand Prix,2019-09-01,Toro Rosso,13,9.0,2.0,Finished,Finished,44,0,0.0
GAS,2019,14,Italian Grand Prix,2019-09-08,Toro Rosso,17,11.0,0.0,+1 Lap,Classified,52,0,0.0
GAS,2019,15,Singapore Grand Prix,2019-09-22,Toro Rosso,11,8.0,4.0,Finished,Finished,61,1,0.0
GAS,2019,16,Russian Grand Prix,2019-09-29,Toro Rosso,16,14.0,0.0,Finished,Finished,53,0,0.0
GAS,2019,17,Japanese Grand Prix,2019-10-13,Toro Rosso,9,7.0,6.0,+1 Lap,Classified,51,0,0.0
GAS,2019,18,Mexican Grand Prix,2019-10-27,Toro Rosso,10,9.0,2.0,+1 Lap,Classified,70,0,0.0
GAS,2019,19,United States Grand Prix,2019-11-03,Toro Rosso,10,16.0,0.0,Suspension,Mechanical DNF,54,0,0.0
GAS,2019,20,Brazilian Grand Prix,2019-11-17,Toro Rosso,6,2.0,18.0,Finished,Finished,71,0,0.0
GAS,2019,21,Abu Dhabi Grand Prix,2019-12-01,Toro Rosso,11,18.0,0.0,+2 Laps,Classified,53,0,0.0
GAS,2020,1,Austrian Grand Prix,2020-07-05,AlphaTauri,12,7.0,6.0,Finished,Finished,71,0,0.0
GAS,2020,2,Styrian Grand Prix,2020-07-12,AlphaTauri,7,15.0,0.0,+1 Lap,Classified,70,0,0.0
GAS,2020,3,Hungarian Grand Prix,2020-07-19,AlphaTauri,10,,0.0,Engine,Mechanical DNF,15,0,0.0
GAS,2020,4,British Grand Prix,2020-08-02,AlphaTauri,11,7.0,6.0,Finished,Finished,52,0,0.0
GAS,2020,5,70th Anniversary Grand Prix,2020-08-09,AlphaTauri,7,11.0,0.0,Finished,Finished,52,0,0.0
GAS,2020,6,Spanish Grand Prix,2020-08-16,AlphaTauri,10,9.0,2.0,+1 Lap,Classified,65,0,0.0
GAS,2020,7,Belgian Grand Prix,2020-08-30,AlphaTauri,12,8.0,4.0,Finished,Finished,44,0,0.0
GAS,2020,8,Italian Grand Prix,2020-09-06,AlphaTauri,10,1.0,25.0,Finished,Finished,53,0,0.0
GAS,2020,9,Tuscan Grand Prix,2020-09-13,AlphaTauri,16,,0.0,Collision,Incident DNF,0,0,0.0
GAS,2020,10,Russian Grand Prix,2020-09-27,AlphaTauri,9,9.0,2.0,Finished,Finished,53,0,0.0
GAS,2020,11,Eifel Grand Prix,2020-10-11,AlphaTauri,12,6.0,8.0,Finished,Finished,60,0,0.0
GAS,2020,12,Portuguese Grand Prix,2020-10-25,AlphaTauri,9,5.0,10.0,+1 Lap,Classified,65,0,0.0
GAS,2020,13,Emilia Romagna Grand Prix,2020-11-01,AlphaTauri,4,,0.0,Water pressure,Other DNF,8,0,0.0
GAS,2020,14,Turkish Grand Prix,2020-11-15,AlphaTauri,19,13.0,0.0,+1 Lap,Classified,57,0,0.0
GAS,2020,15,Bahrain Grand Prix,2020-11-29,AlphaTauri,8,6.0,8.0,Finished,Finished,57,0,0.0
GAS,2020,16,Sakhir Grand Prix,2020-12-06,AlphaTauri,9,11.0,0.0,Finished,Finished,87,0,0.0
GAS,2020,17,Abu Dhabi Grand Prix,2020-12-13,AlphaTauri,9,8.0,4.0,Finished,Finished,55,0,0.0
GAS,2021,1,Bahrain Grand Prix,2021-03-28,AlphaTauri,5,17.0,0.0,Retired,Retired (cause unknown),52,0,0.0
GAS,2021,2,Emilia Romagna Grand Prix,2021-04-18,AlphaTauri,5,7.0,6.0,Finished,Finished,63,0,0.0
GAS,2021,3,Portuguese Grand Prix,2021-05-02,AlphaTauri,9,10.0,1.0,Finished,Finished,66,0,0.0
GAS,2021,4,Spanish Grand Prix,2021-05-09,AlphaTauri,12,10.0,1.0,+1 Lap,Classified,65,0,0.0
GAS,2021,5,Monaco Grand Prix,2021-05-23,AlphaTauri,6,6.0,8.0,Finished,Finished,78,1,0.0
GAS,2021,6,Azerbaijan Grand Prix,2021-06-06,AlphaTauri,4,3.0,15.0,Finished,Finished,51,1,0.0
GAS,2021,7,French Grand Prix,2021-06-20,AlphaTauri,6,7.0,6.0,Finished,Finished,53,0,0.0
GAS,2021,8,Styrian Grand Prix,2021-06-27,AlphaTauri,6,,0.0,Collision,Incident DNF,1,0,0.0
GAS,2021,9,Austrian Grand Prix,2021-07-04,AlphaTauri,6,9.0,2.0,Finished,Finished,71,0,0.0
GAS,2021,10,British Grand Prix,2021-07-18,AlphaTauri,11,11.0,0.0,Finished,Finished,52,0,0.0
GAS,2021,11,Hungarian Grand Prix,2021-08-01,AlphaTauri,5,5.0,11.0,Finished,Finished,70,0,0.0
