Driver,Compound,Stint,LapNumber,LapTime,PitInTime,TrackStatus,year,round,race_name
GAS,SOFT,1.0,1.0,0 days 00:01:49.649000,,12,2023,1,Bahrain Grand Prix
GAS,SOFT,1.0,2.0,0 days 00:01:40.438000,,21,2023,1,Bahrain Grand Prix
GAS,SOFT,1.0,3.0,0 days 00:01:40.643000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,1.0,4.0,0 days 00:01:40.894000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,1.0,5.0,0 days 00:01:40.818000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,1.0,6.0,0 days 00:01:41.110000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,1.0,7.0,0 days 00:01:41.134000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,1.0,8.0,0 days 00:01:41.173000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,1.0,9.0,0 days 00:01:44.201000,0 days 01:17:55.198000,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,10.0,0 days 00:02:01.262000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,11.0,0 days 00:01:38.762000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,12.0,0 days 00:01:38.928000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,13.0,0 days 00:01:39.349000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,14.0,0 days 00:01:38.859000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,15.0,0 days 00:01:38.985000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,16.0,0 days 00:01:38.945000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,17.0,0 days 00:01:39.011000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,18.0,0 days 00:01:39.029000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,19.0,0 days 00:01:39.066000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,20.0,0 days 00:01:39.017000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,21.0,0 days 00:01:39.327000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,22.0,0 days 00:01:39.485000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,23.0,0 days 00:01:39.263000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,24.0,0 days 00:01:39.761000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,2.0,25.0,0 days 00:01:42.288000,0 days 01:44:46.559000,1,2023,1,Bahrain Grand Prix
GAS,HARD,3.0,26.0,0 days 00:01:59.404000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,3.0,27.0,0 days 00:01:38.729000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,3.0,28.0,0 days 00:01:37.761000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,3.0,29.0,0 days 00:01:38.012000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,3.0,30.0,0 days 00:01:37.760000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,3.0,31.0,0 days 00:01:37.968000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,3.0,32.0,0 days 00:01:38.012000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,3.0,33.0,0 days 00:01:37.974000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,3.0,34.0,0 days 00:01:38.022000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,3.0,35.0,0 days 00:01:38.088000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,3.0,36.0,0 days 00:01:38.184000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,3.0,37.0,0 days 00:01:38.133000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,3.0,38.0,0 days 00:01:38.108000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,3.0,39.0,0 days 00:01:38.537000,,1,2023,1,Bahrain Grand Prix
GAS,HARD,3.0,40.0,0 days 00:01:49.707000,0 days 02:09:50.970000,126,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,41.0,0 days 00:02:08.544000,,671,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,42.0,0 days 00:01:35.068000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,43.0,0 days 00:01:35.942000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,44.0,0 days 00:01:35.792000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,45.0,0 days 00:01:36.186000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,46.0,0 days 00:01:36.041000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,47.0,0 days 00:01:36.120000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,48.0,0 days 00:01:36.368000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,49.0,0 days 00:01:36.803000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,50.0,0 days 00:01:36.551000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,51.0,0 days 00:01:36.635000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,52.0,0 days 00:01:36.891000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,53.0,0 days 00:01:36.979000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,54.0,0 days 00:01:37.222000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,55.0,0 days 00:01:37.559000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,56.0,0 days 00:01:37.845000,,1,2023,1,Bahrain Grand Prix
GAS,SOFT,4.0,57.0,0 days 00:01:38.147000,,1,2023,1,Bahrain Grand Prix
OCO,SOFT,1.0,1.0,0 days 00:01:45.967000,,12,2023,1,Bahrain Grand Prix
OCO,SOFT,1.0,2.0,0 days 00:01:40.408000,,21,2023,1,Bahrain Grand Prix
OCO,SOFT,1.0,3.0,0 days 00:01:39.948000,,1,2023,1,Bahrain Grand Prix
OCO,SOFT,1.0,4.0,0 days 00:01:39.543000,,1,2023,1,Bahrain Grand Prix
OCO,SOFT,1.0,5.0,0 days 00:01:40.281000,,1,2023,1,Bahrain Grand Prix
OCO,SOFT,1.0,6.0,0 days 00:01:40.331000,,1,2023,1,Bahrain Grand Prix
OCO,SOFT,1.0,7.0,0 days 00:01:40.488000,,1,2023,1,Bahrain Grand Prix
OCO,SOFT,1.0,8.0,0 days 00:01:40.562000,,1,2023,1,Bahrain Grand Prix
OCO,SOFT,1.0,9.0,0 days 00:01:40.866000,,1,2023,1,Bahrain Grand Prix
OCO,SOFT,1.0,10.0,0 days 00:01:40.858000,,1,2023,1,Bahrain Grand Prix
OCO,SOFT,1.0,11.0,0 days 00:01:41.035000,,1,2023,1,Bahrain Grand Prix
OCO,SOFT,1.0,12.0,0 days 00:01:43.787000,0 days 01:22:49.224000,1,2023,1,Bahrain Grand Prix
OCO,HARD,2.0,13.0,0 days 00:02:00.381000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,2.0,14.0,0 days 00:01:38.649000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,2.0,15.0,0 days 00:01:41.863000,0 days 01:28:10.124000,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,16.0,0 days 00:02:15.708000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,17.0,0 days 00:01:38.780000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,18.0,0 days 00:01:38.886000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,19.0,0 days 00:01:38.817000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,20.0,0 days 00:01:38.809000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,21.0,0 days 00:01:38.976000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,22.0,0 days 00:01:39.028000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,23.0,0 days 00:01:40.052000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,24.0,0 days 00:01:39.382000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,25.0,0 days 00:01:39.435000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,26.0,0 days 00:01:39.521000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,27.0,0 days 00:01:39.594000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,28.0,0 days 00:01:40.026000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,29.0,0 days 00:01:41.181000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,30.0,0 days 00:01:39.757000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,31.0,0 days 00:01:39.748000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,3.0,32.0,0 days 00:01:44.296000,0 days 01:57:02.140000,1,2023,1,Bahrain Grand Prix
OCO,HARD,4.0,33.0,0 days 00:02:18.694000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,4.0,34.0,0 days 00:01:36.797000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,4.0,35.0,0 days 00:01:36.964000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,4.0,36.0,0 days 00:01:37.364000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,4.0,37.0,0 days 00:01:37.338000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,4.0,38.0,0 days 00:01:37.216000,,1,2023,1,Bahrain Grand Prix
OCO,HARD,4.0,39.0,0 days 00:01:37.523000,,12,2023,1,Bahrain Grand Prix
OCO,HARD,4.0,40.0,0 days 00:02:08.023000,,2671,2023,1,Bahrain Grand Prix
OCO,HARD,4.0,41.0,0 days 00:01:42.684000,0 days 02:12:54.779000,1,2023,1,Bahrain Grand Prix
GAS,MEDIUM,1.0,1.0,0 days 00:01:42.172000,,1,2023,2,Saudi Arabian Grand Prix
GAS,MEDIUM,1.0,2.0,0 days 00:01:37.056000,,1,2023,2,Saudi Arabian Grand Prix
GAS,MEDIUM,1.0,3.0,0 days 00:01:36.044000,,1,2023,2,Saudi Arabian Grand Prix
GAS,MEDIUM,1.0,4.0,0 days 00:01:36.291000,,1,2023,2,Saudi Arabian Grand Prix
GAS,MEDIUM,1.0,5.0,0 days 00:01:35.973000,,1,2023,2,Saudi Arabian Grand Prix
GAS,MEDIUM,1.0,6.0,0 days 00:01:35.837000,,1,2023,2,Saudi Arabian Grand Prix
GAS,MEDIUM,1.0,7.0,0 days 00:01:37.137000,,1,2023,2,Saudi Arabian Grand Prix
GAS,MEDIUM,1.0,8.0,0 days 00:01:36.645000,,1,2023,2,Saudi Arabian Grand Prix
GAS,MEDIUM,1.0,9.0,0 days 00:01:36.549000,,1,2023,2,Saudi Arabian Grand Prix
GAS,MEDIUM,1.0,10.0,0 days 00:01:36.262000,,1,2023,2,Saudi Arabian Grand Prix
GAS,MEDIUM,1.0,11.0,0 days 00:01:36.022000,,1,2023,2,Saudi Arabian Grand Prix
GAS,MEDIUM,1.0,12.0,0 days 00:01:36.128000,,1,2023,2,Saudi Arabian Grand Prix
GAS,MEDIUM,1.0,13.0,0 days 00:01:36.170000,,1,2023,2,Saudi Arabian Grand Prix
GAS,MEDIUM,1.0,14.0,0 days 00:01:38.551000,0 days 01:25:26.654000,1,2023,2,Saudi Arabian Grand Prix
GAS,HARD,2.0,15.0,0 days 00:01:53.128000,,1,2023,2,Saudi Arabian Grand Prix
GAS,HARD,2.0,16.0,0 days 00:01:35.536000,,1,2023,2,Saudi Arabian Grand Prix
