year,round,race_name,gas_time_s,oco_time_s,delta_s,faster,gas_grid,oco_grid
2023,1,Bahrain Grand Prix,92.181,90.914,1.266999999999996,OCO,20,9
2023,2,Saudi Arabian Grand Prix,89.357,89.078,0.27899999999999636,OCO,10,7
2023,3,Australian Grand Prix,77.574,77.768,-0.19400000000000261,GAS,9,11
2023,4,Azerbaijan Grand Prix,104.853,101.798,3.0549999999999926,OCO,19,12
2023,5,Miami Grand Prix,87.612,87.444,0.16799999999999216,OCO,5,8
2023,6,Monaco Grand Prix,71.933,71.553,0.38000000000000966,OCO,7,4
2023,7,Spanish Grand Prix,72.816,73.001,-0.18500000000000227,GAS,4,7
2023,8,Canadian Grand Prix,82.886,80.406,2.4799999999999898,OCO,17,6
2023,9,Austrian Grand Prix,65.17,65.453,-0.28300000000000125,GAS,9,12
2023,10,British Grand Prix,87.689,88.956,-1.2670000000000101,GAS,10,13
2023,11,Hungarian Grand Prix,78.217,77.841,0.3760000000000048,OCO,15,12
2023,12,Belgian Grand Prix,113.671,116.372,-2.7009999999999934,GAS,12,15
2023,13,Dutch Grand Prix,80.128,82.11,-1.9819999999999993,GAS,12,17
2023,14,Italian Grand Prix,82.545,82.548,-0.0030000000000001137,GAS,17,18
2023,15,Singapore Grand Prix,92.274,91.673,0.6009999999999991,OCO,12,8
2023,16,Japanese Grand Prix,90.509,90.586,-0.07699999999999818,GAS,12,14
2023,17,Qatar Grand Prix,84.553,84.763,-0.21000000000000796,GAS,7,8
2023,18,United States Grand Prix,95.089,95.154,-0.06499999999999773,GAS,7,8
2023,19,Mexico City Grand Prix,78.521,79.08,-0.5589999999999975,GAS,11,16
2023,20,São Paulo Grand Prix,70.567,70.562,0.0049999999999954525,OCO,13,12
2023,21,Las Vegas Grand Prix,93.239,94.834,-1.5949999999999989,GAS,5,17
2023,22,Abu Dhabi Grand Prix,84.078,84.391,-0.3130000000000024,GAS,10,12
2024,1,Bahrain Grand Prix,90.948,90.793,0.15499999999998693,OCO,20,19
2024,2,Saudi Arabian Grand Prix,89.479,89.475,0.0040000000000048885,OCO,18,17
2024,3,Australian Grand Prix,77.982,77.617,0.3649999999999949,OCO,17,15
2024,4,Japanese Grand Prix,90.119,89.811,0.3079999999999927,OCO,17,15
2024,5,Chinese Grand Prix,95.287,95.223,0.06400000000000716,OCO,15,13
2024,6,Miami Grand Prix,87.976,88.209,-0.2330000000000041,GAS,12,13
2024,7,Emilia Romagna Grand Prix,76.015,75.906,0.10899999999999466,OCO,15,12
2024,8,Monaco Grand Prix,70.896,71.285,-0.3889999999999958,GAS,10,11
2024,9,Canadian Grand Prix,72.94,73.435,-0.49500000000000455,GAS,15,18
2024,10,Spanish Grand Prix,71.857,72.109,-0.25199999999999534,GAS,7,9
2024,11,Austrian Grand Prix,65.359,65.274,0.08499999999999375,OCO,13,10
2024,12,British Grand Prix,99.804,94.557,5.247,OCO,20,18
2024,13,Hungarian Grand Prix,78.166,78.049,0.11699999999999022,OCO,20,19
2024,14,Belgian Grand Prix,114.635,114.46,0.17500000000001137,OCO,12,10
2024,15,Dutch Grand Prix,70.815,71.995,-1.1800000000000068,GAS,9,16
2024,16,Italian Grand Prix,80.738,80.764,-0.02599999999999625,GAS,14,15
2024,17,Azerbaijan Grand Prix,103.179,104.504,-1.3250000000000028,GAS,15,19
2024,18,Singapore Grand Prix,91.312,90.769,0.5429999999999922,OCO,18,15
2024,19,United States Grand Prix,93.018,93.597,-0.5789999999999935,GAS,7,13
2024,20,Mexico City Grand Prix,76.892,77.617,-0.7250000000000085,GAS,8,19
2024,21,São Paulo Grand Prix,89.42,84.475,4.945000000000007,OCO,15,4
2024,22,Las Vegas Grand Prix,92.664,93.221,-0.5570000000000022,GAS,3,11
2024,23,Qatar Grand Prix,81.437,82.714,-1.277000000000001,GAS,11,20
