driver,compound,median_s,year,round,race_name,is_street,tenure_race,season_2024
GAS,HARD,98.762,2023,1,Bahrain Grand Prix,,,
GAS,SOFT,96.979,2023,1,Bahrain Grand Prix,,,
OCO,HARD,98.931,2023,1,Bahrain Grand Prix,,,
OCO,SOFT,100.448,2023,1,Bahrain Grand Prix,,,
GAS,HARD,94.436,2023,2,Saudi Arabian Grand Prix,,,
GAS,MEDIUM,96.216,2023,2,Saudi Arabian Grand Prix,,,
OCO,HARD,94.353,2023,2,Saudi Arabian Grand Prix,,,
OCO,MEDIUM,96.0105,2023,2,Saudi Arabian Grand Prix,,,
GAS,HARD,81.842,2023,3,Australian Grand Prix,,,
GAS,SOFT,84.29,2023,3,Australian Grand Prix,,,
OCO,HARD,82.059,2023,3,Australian Grand Prix,,,
GAS,HARD,106.863,2023,4,Azerbaijan Grand Prix,,,
GAS,MEDIUM,109.075,2023,4,Azerbaijan Grand Prix,,,
OCO,HARD,107.5695,2023,4,Azerbaijan Grand Prix,,,
GAS,HARD,92.32,2023,5,Miami Grand Prix,,,
GAS,MEDIUM,93.404,2023,5,Miami Grand Prix,,,
OCO,HARD,93.211,2023,5,Miami Grand Prix,,,
OCO,MEDIUM,91.724,2023,5,Miami Grand Prix,,,
GAS,HARD,77.99,2023,6,Monaco Grand Prix,,,
GAS,MEDIUM,76.333,2023,6,Monaco Grand Prix,,,
OCO,HARD,77.04050000000001,2023,6,Monaco Grand Prix,,,
OCO,MEDIUM,78.0805,2023,6,Monaco Grand Prix,,,
GAS,HARD,79.0,2023,7,Spanish Grand Prix,,,
GAS,MEDIUM,80.4495,2023,7,Spanish Grand Prix,,,
GAS,SOFT,81.453,2023,7,Spanish Grand Prix,,,
OCO,HARD,79.22049999999999,2023,7,Spanish Grand Prix,,,
OCO,MEDIUM,80.5365,2023,7,Spanish Grand Prix,,,
OCO,SOFT,81.397,2023,7,Spanish Grand Prix,,,
GAS,HARD,77.09049999999999,2023,8,Canadian Grand Prix,,,
GAS,SOFT,78.7,2023,8,Canadian Grand Prix,,,
